subject_id	sid_hash	phase	trial	house_type
1448	f6ff94	practice	4	column
1448	f6ff94	practice	5	column
1448	f6ff94	practice	6	column
1448	f6ff94	practice	7	column
1448	f6ff94	practice	8	column
1448	f6ff94	practice	9	column
1448	f6ff94	practice	10	column
1448	f6ff94	practice	11	column
1448	f6ff94	practice	12	column
1448	f6ff94	practice	13	column
1448	f6ff94	practice	14	column
1448	f6ff94	practice	15	column
1448	f6ff94	practice	16	column
1448	f6ff94	practice	17	column
1448	f6ff94	practice	18	column
1448	f6ff94	practice	19	column
1448	f6ff94	practice	20	column
1448	f6ff94	practice	21	column
1448	f6ff94	practice	22	column
1448	f6ff94	practice	23	column
1448	f6ff94	practice	24	column
1448	f6ff94	practice	25	column
1448	f6ff94	test	1	column
1448	f6ff94	test	2	row
1448	f6ff94	test	3	column
1448	f6ff94	test	4	column
1448	f6ff94	test	5	row
1448	f6ff94	test	6	column
1448	f6ff94	test	7	row
1448	f6ff94	test	8	row
1448	f6ff94	test	9	row
1448	f6ff94	test	10	column
1448	f6ff94	test	11	column
1448	f6ff94	test	12	row
1448	f6ff94	test	13	column
1448	f6ff94	test	14	row
1448	f6ff94	test	15	row
1448	f6ff94	test	16	column
1448	f6ff94	test	17	row
1448	f6ff94	test	18	column
1448	f6ff94	test	19	row
1448	f6ff94	test	20	column
1448	f6ff94	test	21	column
1448	f6ff94	test	22	row
1448	f6ff94	test	23	column
1448	f6ff94	test	24	row
1448	f6ff94	test	25	column
1448	f6ff94	test	26	column
1448	f6ff94	test	27	row
1448	f6ff94	test	28	column
1448	f6ff94	test	29	row
1448	f6ff94	test	30	row
1448	f6ff94	test	31	column
1448	f6ff94	test	32	row
1448	f6ff94	test	33	row
1448	f6ff94	test	34	row
1448	f6ff94	test	35	column
1448	f6ff94	test	36	row
1448	f6ff94	test	37	column
1448	f6ff94	test	38	column
1448	f6ff94	test	39	row
1448	f6ff94	test	40	column
1448	f6ff94	test	41	column
1448	f6ff94	test	42	row
1448	f6ff94	test	43	column
1448	f6ff94	test	44	row
1448	f6ff94	test	45	row
1448	f6ff94	test	46	column
1448	f6ff94	test	47	row
1448	f6ff94	test	48	column
1448	f6ff94	test	49	column
1448	f6ff94	test	50	row
1448	f6ff94	test	51	row
1448	f6ff94	test	52	column
1448	f6ff94	test	53	row
1448	f6ff94	test	54	column
1448	f6ff94	test	55	column
1448	f6ff94	test	56	row
1448	f6ff94	test	57	row
1448	f6ff94	test	58	column
1448	f6ff94	test	59	row
1448	f6ff94	test	60	row
1448	f6ff94	test	61	column
1448	f6ff94	test	62	row
1448	f6ff94	test	63	column
1448	f6ff94	test	64	column
1451	d65d2f	questionnaire	1	column
1451	d65d2f	practice	1	column
1451	d65d2f	practice	2	column
1451	d65d2f	practice	3	column
1451	d65d2f	practice	4	column
1451	d65d2f	practice	5	column
1451	d65d2f	practice	6	column
1451	d65d2f	practice	7	column
1451	d65d2f	practice	8	column
1451	d65d2f	practice	9	column
1451	d65d2f	practice	10	column
1451	d65d2f	practice	11	column
1451	d65d2f	practice	12	column
1451	d65d2f	practice	13	column
1451	d65d2f	practice	14	column
1451	d65d2f	practice	15	column
1451	d65d2f	practice	16	column
1451	d65d2f	practice	17	column
1451	d65d2f	practice	18	column
1451	d65d2f	practice	19	column
1451	d65d2f	practice	20	column
