subject_id	sid_hash	phase	trial	house_type
82	c64038	test	38	column
82	c64038	test	39	row
82	c64038	test	40	column
82	c64038	test	41	column
82	c64038	test	42	row
82	c64038	test	43	column
82	c64038	test	44	row
82	c64038	test	45	column
82	c64038	test	46	row
82	c64038	test	47	row
82	c64038	test	48	column
82	c64038	test	49	column
82	c64038	test	50	row
82	c64038	test	51	column
82	c64038	test	52	row
82	c64038	test	53	row
82	c64038	test	54	column
82	c64038	test	55	column
82	c64038	test	56	row
82	c64038	test	57	row
82	c64038	test	58	column
82	c64038	test	59	row
82	c64038	test	60	column
82	c64038	test	61	row
82	c64038	test	62	row
82	c64038	test	63	column
82	c64038	test	64	column
83	593424	practice	1	row
83	593424	practice	2	row
83	593424	practice	3	row
83	593424	practice	4	row
83	593424	practice	5	row
83	593424	practice	6	row
83	593424	practice	7	row
83	593424	practice	8	row
83	593424	practice	9	row
83	593424	practice	10	row
83	593424	practice	11	row
83	593424	practice	12	row
83	593424	practice	13	row
83	593424	practice	14	row
83	593424	practice	15	row
83	593424	practice	16	row
83	593424	practice	17	row
83	593424	practice	18	row
83	593424	practice	19	row
83	593424	practice	20	row
83	593424	practice	21	row
83	593424	practice	22	row
83	593424	practice	23	row
83	593424	practice	24	row
83	593424	practice	25	row
83	593424	questionnaire	1	row
83	593424	test	1	row
83	593424	test	2	row
83	593424	test	3	column
83	593424	test	4	column
83	593424	test	5	row
83	593424	test	6	column
83	593424	test	7	row
83	593424	test	8	column
83	593424	test	9	row
83	593424	test	10	column
83	593424	test	11	column
83	593424	test	12	row
83	593424	test	13	column
83	593424	test	14	row
83	593424	test	15	column
83	593424	test	16	row
83	593424	test	17	column
83	593424	test	18	row
83	593424	test	19	row
83	593424	test	20	column
83	593424	test	21	column
83	593424	test	22	row
83	593424	test	23	column
83	593424	test	24	row
83	593424	test	25	column
83	593424	test	26	column
83	593424	test	27	row
83	593424	test	28	column
83	593424	test	29	row
83	593424	test	30	column
83	593424	test	31	row
83	593424	test	32	row
83	593424	test	33	row
83	593424	test	34	column
83	593424	test	35	row
83	593424	test	36	row
83	593424	test	37	column
83	593424	test	38	column
83	593424	test	39	row
83	593424	test	40	column
83	593424	test	41	column
83	593424	test	42	row
83	593424	test	43	column
83	593424	test	44	row
83	593424	test	45	column
83	593424	test	46	row
83	593424	test	47	row
83	593424	test	48	column
83	593424	test	49	column
83	593424	test	50	row
83	593424	test	51	column
83	593424	test	52	row
83	593424	test	53	row
83	593424	test	54	column
83	593424	test	55	column
83	593424	test	56	row
83	593424	test	57	row
83	593424	test	58	column
83	593424	test	59	row
83	593424	test	60	column
83	593424	test	61	row
83	593424	test	62	row
83	593424	test	63	column
83	593424	test	64	column
84	3233fa	practice	1	row
84	3233fa	practice	2	row
84	3233fa	practice	3	row
84	3233fa	practice	4	row
84	3233fa	practice	5	row
84	3233fa	practice	6	row
84	3233fa	practice	7	row
84	3233fa	practice	8	row
84	3233fa	practice	9	row
84	3233fa	practice	10	row
84	3233fa	practice	11	row
84	3233fa	practice	12	row
84	3233fa	practice	13	row
84	3233fa	practice	14	row
84	3233fa	practice	15	row
84	3233fa	practice	16	row
84	3233fa	practice	17	row
84	3233fa	practice	18	row
84	3233fa	practice	19	row
84	3233fa	practice	20	row
84	3233fa	practice	21	row
84	3233fa	practice	22	row
84	3233fa	practice	23	row
84	3233fa	practice	24	row
84	3233fa	practice	25	row
84	3233fa	questionnaire	1	row
84	3233fa	test	1	row
84	3233fa	test	2	column
84	3233fa	test	3	column
84	3233fa	test	4	row
84	3233fa	test	5	column
84	3233fa	test	6	column
84	3233fa	test	7	row
84	3233fa	test	8	row
84	3233fa	test	9	column
84	3233fa	test	10	column
84	3233fa	test	11	row
84	3233fa	test	12	column
84	3233fa	test	13	column
84	3233fa	test	14	row
84	3233fa	test	15	row
84	3233fa	test	16	row
84	3233fa	test	17	row
84	3233fa	test	18	row
84	3233fa	test	19	column
84	3233fa	test	20	column
84	3233fa	test	21	row
84	3233fa	test	22	column
84	3233fa	test	23	column
84	3233fa	test	24	row
84	3233fa	test	25	column
84	3233fa	test	26	row
84	3233fa	test	27	column
84	3233fa	test	28	column
84	3233fa	test	29	row
84	3233fa	test	30	row
84	3233fa	test	31	row
84	3233fa	test	32	column
84	3233fa	test	33	row
84	3233fa	test	34	row
84	3233fa	test	35	row
84	3233fa	test	36	column
84	3233fa	test	37	column
84	3233fa	test	38	row
84	3233fa	test	39	column
84	3233fa	test	40	column
84	3233fa	test	41	row
84	3233fa	test	42	column
84	3233fa	test	43	column
84	3233fa	test	44	row
84	3233fa	test	45	row
84	3233fa	test	46	row
84	3233fa	test	47	column
84	3233fa	test	48	column
84	3233fa	test	49	column
84	3233fa	test	50	row
84	3233fa	test	51	row
84	3233fa	test	52	row
84	3233fa	test	53	column
84	3233fa	test	54	column
84	3233fa	test	55	row
84	3233fa	test	56	column
84	3233fa	test	57	column
84	3233fa	test	58	column
84	3233fa	test	59	row
84	3233fa	test	60	row
84	3233fa	test	61	row
84	3233fa	test	62	column
84	3233fa	test	63	column
84	3233fa	test	64	row
85	890b6f	practice	1	column
85	890b6f	practice	2	column
85	890b6f	practice	3	column
85	890b6f	practice	4	column
85	890b6f	practice	5	column
85	890b6f	practice	6	column
85	890b6f	practice	7	column
85	890b6f	practice	8	column
85	890b6f	practice	9	column
85	890b6f	practice	10	column
85	890b6f	practice	11	column
85	890b6f	practice	12	column
85	890b6f	practice	13	column
85	890b6f	practice	14	column
85	890b6f	practice	15	column
