subject_id	rank	probability
18	3	0.066634044
19	3	0.03631501
20	3	0.052242488
21	3	0.1017866
22	3	0.1017866
23	3	0.017471606
24	3	0.017471606
25	3	0.062937476
26	3	0.0131733855
27	3	0.06972363
28	3	0.06557521
29	3	0.013173653
30	3	0.06739502
31	3	0.061198626
32	3	0.066716924
33	3	0.0131738745
34	3	0.013173964
35	3	0.013174015
36	3	0.0743388
37	3	0.013174027
38	3	0.05493338
39	3	0.06318962
40	3	0.034622896
41	3	0.067943014
42	3	0.060203616
43	3	0.10178644
44	3	0.06280851
45	3	0.029653814
46	3	0.06654576
47	3	0.06766985
48	3	0.10175573
49	3	0.013173986
50	3	0.077783935
51	3	0.0135196475
52	3	0.06776158
53	3	0.09383808
54	3	0.082657695
55	3	0.06662347
56	3	0.08939584
57	3	0.035966437
58	3	0.05472394
59	3	0.05219457
60	3	0.03630877
61	3	0.022743408
62	3	0.052222934
63	3	0.084509455
64	3	0.090386696
65	3	0.101784244
66	3	0.012854435
67	3	0.09046909
68	3	0.06776298
69	3	0.05884056
70	3	0.0790352
71	3	0.083435655
72	3	0.047886565
73	3	0.054584913
74	3	0.058629245
75	3	0.034418005
76	3	0.062469456
77	3	0.033563275
78	3	0.07708027
79	3	0.07794891
80	3	0.06700314
81	3	0.08023957
82	3	0.08373135
83	3	0.06713994
84	3	0.07572087
85	3	0.0647654
86	3	0.06598659
87	3	0.06582386
88	3	0.056151453
1	4	0.009902162
2	4	0.009902162
3	4	0.009902162
4	4	0.009902162
5	4	0.009902162
6	4	0.009902162
7	4	0.009902162
8	4	0.009902162
9	4	0.009902162
10	4	0.009902162
11	4	0.009902162
12	4	0.009902162
13	4	0.04549551
14	4	0.042014606
15	4	0.042014606
16	4	0.04549551
17	4	0.053773638
18	4	0.060643382
19	4	0.026461316
20	4	0.05041091
21	4	0.056787465
22	4	0.056787465
23	4	0.012671999
24	4	0.012671999
25	4	0.05701813
26	4	0.00990168
27	4	0.063455224
28	4	0.049289145
29	4	0.00990188
30	4	0.050657008
31	4	0.055696614
32	4	0.048614003
33	4	0.009902049
34	4	0.009902119
35	4	0.009902156
36	4	0.055178028
37	4	0.00990216
38	4	0.054679323
39	4	0.047496017
40	4	0.026024042
41	4	0.05106888
42	4	0.054791067
43	4	0.056787387
44	4	0.056901295
45	4	0.016544078
46	4	0.05001866
47	4	0.05086356
48	4	0.056770243
49	4	0.009902133
50	4	0.05641599
51	4	0.012698641
52	4	0.050932508
53	4	0.05235296
54	4	0.044498574
55	4	0.06063376
